id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
35284,GL-QCU,heliport,Akunaq Heliport,68.7442728315,-52.340369224499995,59,NA,GL,GL-U-A,,yes,BGAK,QCU,,,https://en.wikipedia.org/wiki/Akunnaaq_Heliport,Akunnaaq
3098,GLMR,medium_airport,Spriggs Payne Airport,6.289060115814209,-10.758700370788574,25,AF,LR,LR-MO,Monrovia,yes,GLMR,MLW,,,https://en.wikipedia.org/wiki/Spriggs_Payne_Airport,
3099,GLRB,large_airport,Roberts International Airport,6.23379,-10.3623,31,AF,LR,LR-MG,Monrovia,yes,GLRB,ROB,,,https://en.wikipedia.org/wiki/Roberts_International_Airport,
3101,GMAD,medium_airport,Al Massira Airport,30.322478,-9.412003,250,AF,MA,MA-AGD,Agadir (Temsia),yes,GMAD,AGA,,,https://en.wikipedia.org/wiki/Al_Massira_Airport,
3102,GMAT,medium_airport,Tan Tan Airport,28.448200225830078,-11.161299705505371,653,AF,MA,MA-TNT,Tan Tan,yes,GMAT,TTA,,,https://en.wikipedia.org/wiki/Tan_Tan_Airport,Plage Blanche Airport
3103,GMFF,medium_airport,Saïss Airport,33.9272994995,-4.977960109709999,1900,AF,MA,MA-FES,Fes,yes,GMFF,FEZ,,,https://en.wikipedia.org/wiki/Sa%C3%AFss_Airport,
3105,GMFK,medium_airport,Moulay Ali Cherif Airport,31.9475002289,-4.39833021164,3428,AF,MA,MA-ERR,Errachidia,yes,GMFK,ERH,,,https://en.wikipedia.org/wiki/Moulay_Ali_Cherif_Airport,
3107,GMFO,medium_airport,Angads Airport,34.787200927734375,-1.92399001121521,1535,AF,MA,MA-OUJ,Oujda,yes,GMFO,OUD,,,https://en.wikipedia.org/wiki/Angads_Airport,
3108,GMMA,medium_airport,Smara Airport,26.731987,-11.683655,350,AF,EH,EH-U-A,Smara,yes,GMMA,SMW,,,https://en.wikipedia.org/wiki/Smara_Airport,"GSMA, Semara"
29694,GMMD,small_airport,Beni Mellal Airport,32.401895,-6.315905,1694,AF,MA,MA-BEM,Beni Mellal,yes,GMMD,BEM,,http://ww.onda.ma,https://en.wikipedia.org/wiki/Beni_Mellal_Airport,
3109,GMME,medium_airport,Rabat-Salé Airport,34.051498,-6.75152,276,AF,MA,MA-RBA,Rabat,yes,GMME,RBA,,,https://en.wikipedia.org/wiki/Sale_Airport,
3110,GMMH,medium_airport,Dakhla Airport,23.7183,-15.932,36,AF,EH,EH-U-A,Dakhla,yes,GMMH,VIL,,,https://en.wikipedia.org/wiki/Dakhla_Airport,"GSVO, Villa Cisneros, Dajla, Oued Ed-Dahab"
3111,GMMI,medium_airport,Essaouira-Mogador Airport,31.397499,-9.68167,384,AF,MA,MA-ESI,Essaouira,yes,GMMI,ESU,,,https://en.wikipedia.org/wiki/Essaouira-Mogador_Airport,
3112,GMML,medium_airport,Hassan I Airport,27.151699,-13.2192,207,AF,EH,EH-U-A,El Aaiún,yes,GMML,EUN,,,https://en.wikipedia.org/wiki/Hassan_Airport,"GSAI, Laâyoune"
3113,GMMN,large_airport,Mohammed V International Airport,33.36750030517578,-7.589970111846924,656,AF,MA,MA-CAS,Casablanca,yes,GMMN,CMN,,http://www.onda.ma/ONDA/Fr/Espaces/EspacePassagers/LeReseauAeroportuaireONDA/Lesaeroports/Fiches+d%E2%80%99identit%C3%A9+par+a%C,https://en.wikipedia.org/wiki/Mohammed_V_International_Airport,"CAS, Casabianca, Nouasseur"
3114,GMMW,medium_airport,Nador International Airport,34.988800048799995,-3.0282099247,574,AF,MA,MA-NAD,Nador,yes,GMMW,NDR,,,https://en.wikipedia.org/wiki/Nador_International_Airport,Al Aroui International Airport
3115,GMMX,medium_airport,Menara Airport,31.606899261499997,-8.03629970551,1545,AF,MA,MA-MAR,Marrakech,yes,GMMX,RAK,,,https://en.wikipedia.org/wiki/Menara_International_Airport,"Marakesh, Marrakesh"
3117,GMMZ,medium_airport,Ouarzazate Airport,30.9391002655,-6.909430027010001,3782,AF,MA,MA-OUA,Ouarzazate,yes,GMMZ,OZZ,,,https://en.wikipedia.org/wiki/Ouarzazate_Airport,
319715,GMQ,medium_airport,Golog Maqin Airport,34.418066,100.301144,12426,AS,CN,CN-63,Golog,yes,ZLGL,GMQ,,,https://en.wikipedia.org/wiki/Golog_Maqin_Airport,
3119,GMTA,medium_airport,Cherif Al Idrissi Airport,35.177101135253906,-3.83951997756958,95,AF,MA,MA-HOC,Al Hoceima,yes,GMTA,AHU,,,https://en.wikipedia.org/wiki/Cherif_Al_Idrissi_Airport,
3121,GMTT,medium_airport,Tangier Ibn Battouta Airport,35.726898,-5.91689,62,AF,MA,MA-TNG,Tangier,yes,GMTT,TNG,,,https://en.wikipedia.org/wiki/Tangier_Ibn_Battouta_Airport,"Tanger-Boukhalef Airport, Aéroport de Tanger-Ibn Battuta"
325736,GOBD,large_airport,Blaise Diagne International Airport,14.67,-17.073333,290,AF,SN,SN-DK,Dakar,yes,GOBD,DSS,,http://www.dakaraeroport.com/,https://en.wikipedia.org/wiki/Blaise_Diagne_International_Airport,"dakar,new dakar airport, dakar airport, diass airport"
3122,GOGG,medium_airport,Ziguinchor Airport,12.5556,-16.281799,75,AF,SN,SN-ZG,Ziguinchor,yes,GOGG,ZIG,,,https://en.wikipedia.org/wiki/Ziguinchor_Airport,Basse Casamance
3123,GOGS,medium_airport,Cap Skirring Airport,12.39533,-16.748,52,AF,SN,SN-ZG,Cap Skirring,yes,GOGS,CSK,,,https://en.wikipedia.org/wiki/Cap_Skirring_Airport,
31879,GOSM,medium_airport,Ouro Sogui Airport,15.5936,-13.3228,85,AF,SN,SN-MT,Ouro Sogui,yes,GOSM,MAX,,,https://en.wikipedia.org/wiki/Ouro_Sogui_Airport,
3126,GOSS,medium_airport,Saint Louis Airport,16.049814,-16.461039,9,AF,SN,SN-SL,Saint Louis,yes,GOSS,XLS,,,https://en.wikipedia.org/wiki/Saint_Louis_Airport,
3129,GOTT,medium_airport,Tambacounda Airport,13.736800193786621,-13.65310001373291,161,AF,SN,SN-TC,Tambacounda,yes,GOTT,TUD,,,https://en.wikipedia.org/wiki/Tambacounda_Airport,
323315,GQNO,large_airport,Nouakchott–Oumtounsy International Airport,18.31,-15.9697222,9,AF,MR,MR-NKC,Nouakchott,yes,GQNO,NKC,,,https://en.wikipedia.org/wiki/Nouakchott%E2%80%93Oumtounsy_International_Airport,"Nouakchott,Oumtounsy"
3138,GQPP,medium_airport,Nouadhibou International Airport,20.9330997467041,-17.030000686645508,24,AF,MR,MR-08,Nouadhibou,yes,GQPP,NDB,,,https://en.wikipedia.org/wiki/Nouadhibou_International_Airport,
3146,GUCY,medium_airport,Conakry International Airport,9.57689,-13.612,72,AF,GN,GN-C,Conakry,yes,GUCY,CKY,,http://www.aeroport-conakry.com/aeroport_international_de_conakry.php,https://en.wikipedia.org/wiki/Conakry_International_Airport,Gbessia International Airport
3150,GVAC,large_airport,Amílcar Cabral International Airport,16.7414,-22.9494,177,AF,CV,CV-B,Espargos,yes,GVAC,SID,,,https://en.wikipedia.org/wiki/Am%C3%ADlcar_Cabral_International_Airport,Sal Island
3151,GVBA,medium_airport,Rabil Airport,16.136499404907227,-22.888900756835938,69,AF,CV,CV-B,Rabil,yes,GVBA,BVC,,,https://en.wikipedia.org/wiki/Rabil_Airport,Boa Vista Island
3152,GVMA,medium_airport,Maio Airport,15.155900001525879,-23.213699340820312,36,AF,CV,CV-S,Vila do Maio,yes,GVMA,MMO,,,https://en.wikipedia.org/wiki/Maio_Airport,Maio Island
3153,GVNP,medium_airport,Praia International Airport,14.924500465393066,-23.493499755859375,230,AF,CV,CV-S,Praia,yes,GVNP,RAI,,,https://en.wikipedia.org/wiki/Francisco_Mendes_International_Airport,Santiago Island
32287,GVSF,small_airport,São Filipe Airport,14.8850002289,-24.4799995422,617,AF,CV,CV-S,São Filipe,yes,GVSF,SFL,,,https://en.wikipedia.org/wiki/S%C3%A3o_Filipe_Airport,Fogo Island
3154,GVSN,medium_airport,Preguiça Airport,16.58839988708496,-24.284700393676758,669,AF,CV,CV-B,Preguiça,yes,GVSN,SNE,,,https://en.wikipedia.org/wiki/Pregui%C3%A7a_Airport,Sao Nicolau Island
3155,GVSV,medium_airport,São Pedro Airport,16.8332,-25.0553,66,AF,CV,CV-B,São Pedro,yes,GVSV,VXE,,,https://en.wikipedia.org/wiki/S%C3%A3o_Pedro_Airport,São Vicente Island
41501,GY-BTO,small_airport,Botopasi Airport,4.21751109352,-55.4470539093,242,SA,SR,SR-SI,Botopasi,yes,SMBO,BTO,,,https://en.wikipedia.org/wiki/Botopassi_Airstrip,
41502,GY-DOE,small_airport,Djumu-Djomoe Airport,4.00571261057,-55.4816436768,290,SA,SR,SR-SI,Djumu-Djomoe,yes,SMDJ,DOE,,,https://en.wikipedia.org/wiki/Djoemoe_Airstrip,
41503,GY-LDO,small_airport,Ladouanie Airport,4.37610828345,-55.407056808499995,236,SA,SR,SR-SI,Aurora,yes,SMDO,LDO,,,https://en.wikipedia.org/wiki/Laduani_Airstrip,Aurora Airstrip
3157,HAAB,large_airport,Addis Ababa Bole International Airport,8.97789,38.799301,7630,AF,ET,ET-AA,Addis Ababa,yes,HAAB,ADD,,http://www.ethiopianairports.com,https://en.wikipedia.org/wiki/Bole_International_Airport,"Haile Selassie I, Bole International Airport"
3159,HAAM,medium_airport,Arba Minch Airport,6.0393900871276855,37.59049987792969,3901,AF,ET,ET-SN,,yes,HAAM,AMH,,,https://en.wikipedia.org/wiki/Arba_Minch_Airport,"Gantar,Minghi"
3160,HAAX,medium_airport,Axum Airport,14.14680004119873,38.77280044555664,6959,AF,ET,ET-TI,,yes,HAAX,AXU,,,https://en.wikipedia.org/wiki/Axum_Airport,
3161,HABD,medium_airport,Bahir Dar Airport,11.608099937438965,37.32160186767578,5978,AF,ET,ET-AM,Bahir Dar,yes,HABD,BJR,,,https://en.wikipedia.org/wiki/Bahir_Dar_Airport,
30694,HABE,small_airport,Beica Airport,9.38639,34.5219,5410,AF,ET,ET-OR,Beica,yes,HABE,BEI,,,,
30949,HADC,small_airport,Combolcha Airport,11.082500457763672,39.71139907836914,6117,AF,ET,ET-AM,Dessie,yes,HADC,DSE,,,,
30885,HADD,small_airport,Dembidollo Airport,8.553999900817871,34.858001708984375,5200,AF,ET,ET-GA,Dembidollo,yes,HADD,DEM,,,,
3162,HADR,medium_airport,Aba Tenna Dejazmach Yilma International Airport,9.624699592590332,41.85419845581055,3827,AF,ET,ET-DD,Dire Dawa,yes,HADR,DIR,,,https://en.wikipedia.org/wiki/Aba_Tenna_Dejazmach_Yilma_International_Airport,
3163,HAGM,medium_airport,Gambella Airport,8.12876033782959,34.5630989074707,1614,AF,ET,ET-GA,Gambela,yes,HAGM,GMB,,,https://en.wikipedia.org/wiki/Gambela_Airport,Gambela National Park
3164,HAGN,medium_airport,Gonder Airport,12.51990032196045,37.433998107910156,6449,AF,ET,ET-AM,Gondar,yes,HAGN,GDQ,,,https://en.wikipedia.org/wiki/Gondar_Airport,Azezo
3165,HAGO,medium_airport,Gode Airport,5.93513011932,43.5786018372,834,AF,ET,ET-SO,Gode,yes,HAGO,GDE,,,https://en.wikipedia.org/wiki/Gode_Airport,Iddiole
31547,HAGR,small_airport,Gore Airport,8.1614,35.5529,6580,AF,ET,ET-OR,Gore,yes,HAGR,GOR,,,https://en.wikipedia.org/wiki/Gore_Airport,
313314,HAJJ,medium_airport,Wilwal International Airport,9.3325,42.9121,5954,AF,ET,ET-SO,Jijiga,yes,HAJJ,JIJ,,,https://en.wikipedia.org/wiki/Jijiga_Airport,Garaad Wiil-Waal
3166,HAJM,medium_airport,Jimma Airport,7.66609001159668,36.81660079956055,5500,AF,ET,ET-OR,Jimma,yes,HAJM,JIM,,,https://en.wikipedia.org/wiki/Aba_Segud_Airport,
30612,HAKD,small_airport,Kebri Dahar Airport,6.732577,44.241339,1800,AF,ET,ET-SO,Kebri Dahar,yes,HAKD,ABK,,,https://en.wikipedia.org/wiki/Kabri_Dar_Airport,Kabri Dar
31960,HAMT,small_airport,Mizan Teferi Airport,6.9571,35.5547,4396,AF,ET,ET-GA,Mizan Teferi,yes,HAMT,MTF,,,https://en.wikipedia.org/wiki/Mizan_Teferi_Airport,
314658,HASM,small_airport,Semera Airport,11.7875,40.9915,1390,AF,ET,ET-AF,Semera,yes,HASM,SZE,,,https://en.wikipedia.org/wiki/Semera_Airport,
3169,HASO,medium_airport,Asosa Airport,10.018500328063965,34.586299896240234,5100,AF,ET,ET-BE,Asosa,yes,HASO,ASO,,,https://en.wikipedia.org/wiki/Asosa_Airport,
32448,HATP,small_airport,Tippi Airport,7.2024,35.415,1100,AF,ET,ET-GA,Tippi,yes,HATP,TIE,,,https://en.wikipedia.org/wiki/Tippi_Airport,
3170,HBBA,medium_airport,Bujumbura Melchior Ndadaye International Airport,-3.32402,29.318501,2582,AF,BI,BI-BM,Bujumbura,yes,HBBA,BJM,,,https://en.wikipedia.org/wiki/Bujumbura_International_Airport,
307094,HBBO,small_airport,Kirundo Airport,-2.544772,30.094575,4511,AF,BI,BI-KI,Kirundo,yes,HBBO,KRE,,,https://en.wikipedia.org/wiki/Kirundo_Airport,
333096,HBQ,small_airport,Haibei Qilian Airport,38.012,100.644,10377,AS,CN,CN-63,Qilian,yes,,HBQ,,,https://en.wikipedia.org/wiki/Qilian_Airport,
318151,HBT,seaplane_base,Hambantota Seaplane Base,6.124043,81.103,0,AS,LK,LK-3,Hambantota,yes,,HBT,,,,
30792,HCMF,small_airport,Bosaso / Bender Qassim International Airport,11.275235,49.139231,3,AF,SO,SO-BR,Bosaso,yes,HCMF,BSA,,,,
3171,HCMH,medium_airport,Egal International Airport,9.513207,44.082389,4471,AF,SO,SO-WO,Hargeisa,yes,HCMH,HGA,,,https://en.wikipedia.org/wiki/Hargeisa_International_Airport,"Madaarka Caalamiga a ee Cigaal, مطار هرجيسا إيغال الدولية‎)"
3172,HCMI,medium_airport,Berbera Airport,10.385035,44.936723,30,AF,SO,SO-WO,Berbera,yes,HCMI,BBO,,,https://en.wikipedia.org/wiki/Berbera_Airport,
31899,HCMM,medium_airport,Aden Adde International Airport,2.0144400596618652,45.3046989440918,29,AF,SO,SO-BN,Mogadishu,yes,HCMM,MGQ,,,https://en.wikipedia.org/wiki/Aden_Adde_International_Airport,HCCM
31572,HCMN,small_airport,Beledweyne Airport,4.766976,45.2388,559,AF,SO,SO-HI,Beledweyne,yes,HCMN,BLW,,,https://en.wikipedia.org/wiki/Beledweyne_Airport,"Belet Uen, Beletweyn, Duqow Ahmed Fiidow, Beletwene"
31536,HCMR,small_airport,Galcaio Airport,6.78082990646,47.45470047,975,AF,SO,SO-MU,Galcaio,yes,HCMR,GLK,,,https://en.wikipedia.org/wiki/Galkacyo_Airport,Galkacyo Airport
3174,HDAM,large_airport,Djibouti-Ambouli Airport,11.5473,43.1595,49,AF,DJ,DJ-DJ,Djibouti City,yes,HDAM,JIB,,,https://en.wikipedia.org/wiki/Djibouti-Ambouli_International_Airport,Camp Lemonnier
3176,HEAR,medium_airport,El Arish International Airport,31.073299408,33.8358001709,121,AS,EG,EG-SIN,El Arish,yes,HEAR,AAC,,,https://en.wikipedia.org/wiki/El_Arish_International_Airport,
3177,HEAT,medium_airport,Asyut International Airport,27.050818,31.016309,748,AF,EG,EG-AST,Asyut,yes,HEAT,ATZ,,,https://en.wikipedia.org/wiki/Assiut_Airport,Asyut
3180,HEBA,medium_airport,Borj El Arab International Airport,30.93249,29.696437,171,AF,EG,EG-ALX,Alexandria,yes,HEBA,HBE,,,https://en.wikipedia.org/wiki/Borg_El_Arab_Airport,
3181,HEBL,medium_airport,Abu Simbel Airport,22.375999450699997,31.611700058,616,AF,EG,EG-ASN,Abu Simbel,yes,HEBL,ABS,,,https://en.wikipedia.org/wiki/Abu_Simbel_Airport,
3183,HECA,large_airport,Cairo International Airport,30.12190055847168,31.40559959411621,382,AF,EG,EG-C,Cairo,yes,HECA,CAI,,,https://en.wikipedia.org/wiki/Cairo_International_Airport,
3186,HEGN,large_airport,Hurghada International Airport,27.180325,33.807292,32,AF,EG,EG-BA,Hurghada,yes,HEGN,HRG,,,https://en.wikipedia.org/wiki/Hurghada_International_Airport,"Al Ghardaqah, الغردقة"
3191,HELX,medium_airport,Luxor International Airport,25.674629,32.700012,276,AF,EG,EG-KN,Luxor,yes,HELX,LXR,,,https://en.wikipedia.org/wiki/Luxor_International_Airport,
3192,HEMA,medium_airport,Marsa Alam International Airport,25.557100296,34.5836982727,251,AF,EG,EG-BA,Marsa Alam,yes,HEMA,RMF,,http://www.marsa-alam-airport.com,https://en.wikipedia.org/wiki/Marsa_Alam_International_Airport,
3193,HEMM,medium_airport,Marsa Matruh Airport,31.325399,27.221701,94,AF,EG,EG-MT,Marsa Matruh,yes,HEMM,MUH,,,https://en.wikipedia.org/wiki/Mersa_Matruh_Airport,
300893,HESG,medium_airport,Suhaj Mubarak International Airport,26.339115,31.737624,322,AF,EG,EG-SHG,Suhaj,yes,HESG,HMB,,,https://en.wikipedia.org/wiki/Sohag_International_Airport,Mubarak International Airport
3198,HESH,large_airport,Sharm El Sheikh International Airport,27.977301,34.395,143,AS,EG,EG-JS,Sharm el-Sheikh,yes,HESH,SSH,,,https://en.wikipedia.org/wiki/Sharm_el-Sheikh_International_Airport,
3199,HESN,medium_airport,Aswan International Airport,23.9643993378,32.8199996948,662,AF,EG,EG-ASN,Aswan,yes,HESN,ASW,,,https://en.wikipedia.org/wiki/Aswan_International_Airport,
3200,HETB,medium_airport,Taba International Airport,29.587799,34.778099,2415,AS,EG,EG-SIN,Taba,yes,HETB,TCP,,,https://en.wikipedia.org/wiki/Taba_International_Airport,
3202,HHAS,medium_airport,Asmara International Airport,15.291899681091309,38.910701751708984,7661,AF,ER,ER-SK,Asmara,yes,HHAS,ASM,,,https://en.wikipedia.org/wiki/Asmara_International_Airport,
3203,HHMS,medium_airport,Massawa International Airport,15.670000076293945,39.37009811401367,194,AF,ER,ER-SK,Massawa,yes,HHMS,MSW,,,https://en.wikipedia.org/wiki/Massawa_International_Airport,
3204,HHSB,medium_airport,Assab International Airport,13.071800231933594,42.64500045776367,46,AF,ER,ER-DK,Asab,yes,HHSB,ASA,,,https://en.wikipedia.org/wiki/Asseb_International_Airport,
28145,HIL,small_airport,Shilavo Airport,6.077545,44.763736,1296,AF,ET,ET-SO,Shilavo,yes,HASL,HIL,,,https://en.wikipedia.org/wiki/Shilavo_Airport,"Shillavo, Shilabo, Scilave, ሺላቮ"
3247,HJJJ,large_airport,Juba International Airport,4.87201,31.601101,1513,AF,SS,SS-17,Juba,yes,HJJJ,JUB,,,https://en.wikipedia.org/wiki/Juba_Airport,"JIA, HSSJ"
28481,HKAM,medium_airport,Amboseli Airport,-2.645050048828125,37.25310134887695,3755,AF,KE,KE-700,Amboseli National Park,yes,HKAM,ASV,,,https://en.wikipedia.org/wiki/Amboseli_Airport,Maasai Amboseli Game Reserve
313211,HKB,small_airport,Healy Lake Airport,63.9958,-144.6926,1180,NA,US,US-AK,Healy Lake,yes,,HKB,,,https://en.wikipedia.org/wiki/Healy_Lake_Airport,
3205,HKEL,medium_airport,Eldoret International Airport,0.4044579863548279,35.23889923095703,6941,AF,KE,KE-700,Eldoret,yes,HKEL,EDL,,http://www.kenyaairports.co.ke/kaa/airports/eldoret/,https://en.wikipedia.org/wiki/Eldoret_International_Airport,HKED
3206,HKJK,large_airport,Jomo Kenyatta International Airport,-1.31923997402,36.9277992249,5330,AF,KE,KE-110,Nairobi,yes,HKJK,NBO,,http://www.kenyaairports.com/jkia/IndexJkia.php,https://en.wikipedia.org/wiki/Jomo_Kenyatta_International_Airport,"Jkia Airport, Embakasi Airport, Nairobi International Airport"
3208,HKKI,medium_airport,Kisumu Airport,-0.0861390009522438,34.72890090942383,3734,AF,KE,KE-600,Kisumu,yes,HKKI,KIS,,http://www.kenyaairports.co.ke/kaa/airports/kisumu/,https://en.wikipedia.org/wiki/Kisumu_Airport,
3210,HKLK,medium_airport,Lokichoggio Airport,4.20412015914917,34.348201751708984,2074,AF,KE,KE-700,Lokichoggio,yes,HKLK,LKG,,http://www.kenyaairports.co.ke/kaa/airports/loki/,https://en.wikipedia.org/wiki/Lokichogio_Airport,
3212,HKLU,medium_airport,Manda Airstrip,-2.252419948577881,40.91310119628906,20,AF,KE,KE-300,Lamu,yes,HKLU,LAU,,http://www.kenyaairports.co.ke/kaa/airports/airstrips/manda_intro.html,https://en.wikipedia.org/wiki/Manda_Airport,
